Abari O.,19
Abari O.,2
Abbott Mark B.,10
Abdallah M.,7
Abdallah S.,102
Abdallah S.,23
Abdel-Mottaleb M.,0
Abdel-Rahman M.J.,1
Abdelghany M.,2
Abdelghany M.A.,17
Abdelzaher T.F.,226
Abdesslem F.B.,74
Abdulla G.,161
Aben E.,79
Aben E.,55
Aben E.,12
Aben E.,5
Aben E.,0
Abeysundara Bandula W.,6
Abhishta,0
Abowd G.D.,2
Abrach H.,1
Abraham I.,22
Abrahamsson H.,34
Abrahao B.,22
Abram-Profeta E.L.,0
Abrams M.,161
Abry P.,31
Abu Rajab M.,333
Acar G.,0
Achan K.,91
Acharya A.,38
Acharya A.,12
Acharya A.,0
Acharya H.B.,34
Achir N.,2
Achtzehn A.,2
Adams B.,98
Adams B.,4
Adams C.J.,8
Adams C.J.,2
Adams G.C.,5
Adams W.J.,13
Adcock J.,3
Addanki V.,0
Adhikari V.K.,63
Adhikari V.K.,38
Adhikari V.K.,17
Adib F.,154
Adib F.,106
Adib F.,9
Adib F.,2
Adib F.,2
Adib F.,0
Adiseshu H.,68
Aditya P.,31
Adkins D.,189
Adlakha S.,11
Adrian D.,18
Adya A.,27
Afanasyev M.,58
Afanasyev M.,53
Afanasyev M.,8
Afec Y.,20
Afek Y.,13
Afshari P.V.,8
Afzal S.,10
Agache A.,16
Agarwal A.,198
Agarwal K.,73
Agarwal K.,47
Agarwal K.,36
Agarwal R.,193
Agarwal R.,0
Agarwal S.,0
Agarwala A.,12
Agarwalla B.,92
Ager B.,124
Ager B.,59
Ager B.,54
Ager B.,25
Ager B.,1
Aggarwal A.,1
Aggarwal R.,11
Aggarwal S.,67
Aggarwal S.,3
Aggarwal S.,1
Agha G.,56
Agnew G.B.,1
Agnihotri L.,9
Agosta J.M.,21
Agrawal A.,20
Agrawal D.,38
Agrawal S.,14
Agre J.R.,1
Agu E.,103
Agu E.,94
Agu E.,59
Agudelo A.,4
Aguiar R.,4
Aguilar L.,34
Aguilar L.,31
Ahamad M.,107
Ahamad M.,49
Ahammad P.,2
Ahlgren B.,24
Ahmad S.,9
Ahmad T.,20
Ahmadzadeh S.A.,1
Ahmaniemi A.,21
Ahmed M.,29
Ahmed N.,20
Ahmed O.K.,48
Ahmed R.,2
Ahn J.S.,132
Ahn S.,0
Ahn Y.-Y.,87
Ahnt Y.-Y.,955
Ahsan K.,131
Ahuja A.,152
Ai J.,44
Aiello R.,6
Aikat J.,102
Aikat J.,40
Ajmone Marsan M.,1
Akamatsu S.,17
Akashi O.,10
Akella A.,952
Akella A.,163
Akella A.,121
Akella A.,97
Akella A.,81
Akella A.,73
Akella A.,72
Akella A.,67
Akella A.,65
Akella A.,59
Akella A.,48
Akella A.,46
Akella A.,39
Akella A.,38
Akella A.,36
Akella A.,33
Akella A.,32
Akella A.,27
Akella A.,23
Akella A.,20
Akella A.,13
Akella A.,11
Akella A.,9
Akella A.,9
Akella A.,4
Akella A.,3
Akella A.,3
Akella A.,3
Akhshabi S.,40
Akhtar Z.,1
Akhtar Z.,0
Akiwate G.,0
Akkawi A.,14
Akkawi A.,2
Akkus I.E.,11
Akl S.,3
Akodjenou M.-I.,52
Akutsu A.,2
Akyildiz I.F.,26
Akyildiz Ian F.,0
Al-Fares M.,17
Al-Fares M.,2
Al-Khalidi M.,0
Alarcón E.,0
Alasmar M.,0
Alay O.,78
Albanesi M.G.,0
Alcock S.,4
Alcock S.,0
Alderson D.,38
Aleh A.,1
Alexander W.,1
Alfredsson S.,0
Algayres B.,12
Alimi R.,10
Alimi R.,2
Alistarh D.,8
Alizadeh M.,171
Alizadeh M.,134
Alizadeh M.,48
Alizadeh M.,43
Alizadeh M.,29
Alizadeh M.,28
Alizadeh M.,20
Alizadeh M.,20
Alizadeh M.,13
Alizadeh M.,8
Alizadeh M.,0
Alizadeh M.,0
Alizadeh M.,0
Alkaff H.,6
Allamanis M.,57
Allman M.,236
Allman M.,112
Allman M.,63
Allman M.,51
Allman M.,38
Allman M.,35
Allman M.,34
Allman M.,31
Allman M.,22
Allman M.,15
Allman M.,15
Allman M.,5
Allman M.,4
Allman M.,3
Allman M.,1
Allman M.,0
Allman M.,0
Almeida J.M.,63
Almeida L.,0
Almeida M.,23
Almeida V.,448
Almeida V.,102
Almeida V.,75
Almeida V.,63
Almeida V.,44
Almeroth K.,83
Almeroth K.C.,44
Almeroth K.C.,19
Almeroth K.C.,13
Alp Aslandogan Y.,0
Alphand O.,1
Alsheikh M.A.,1
Alshuth P.,1
Altman E.,84
Alur R.,4
Alvarez D.,0
Alvarez-Hamelin J.I.,3
Alvisi L.,3
Alwabel A.,5
Aly K.A.,0
Alyafawi I.,5
Alyyan A.,140
Amann J.,9
Amann J.,0
Amar Y.,3
Amarandei-Stavila M.,44
Amaro J.R.,3
Amatriain X.,173
Ameme D.,0
Amer P.D.,21
Amer P.D.,1
Amil E.,2
Amin S.O.,140
Amin S.O.,4
Amin S.O.,1
Amini L.,1
Amir A.,41
Ammar M.,100
Ammar M.,63
Ammar M.,40
Ammar M.,8
Ammar M.,5
Ammar M.,4
Ammar M.,0
Ammar M.,0
Ammar M.H.,54
An X.,0
Anand A.,3
Anand B.,16
Ananda A.L.,16
Anandan P.,196
Ananthanarayanan G.,81
Ananthanarayanan G.,72
Ananthanarayanan G.,44
Ananthanarayanan G.,15
Ananthanarayanan G.,1
Anantharam V.,16
Andersen D.G.,188
Andersen D.G.,98
Andersen D.G.,74
Andersen D.G.,41
Andersen D.G.,13
Andersen D.G.,12
Anderson D.,2
